# m1 m2 DL Tc iota phic psi thetaS phiS logL logPrior
3.807884085894840978e+36 7.123580622723942322e+35 2.865331826313804502e+26 3.087028585512179136e+07 3.577513572775832262e-01 2.019362884111918444e+00 1.022734630334573680e+00 1.435112706144269223e+00 2.126830838308316984e+00 -5.432328972863523027e-38 0.000000000000000000e+00
3.560542526247742673e+36 9.635464861549054973e+35 2.814782346999842763e+26 3.439811994693760574e+07 3.441124038774301397e-01 2.894080582717549976e+00 2.234923786251026279e-01 1.016475381820315604e+00 1.660002367491949959e+00 -4.947490504549083318e-38 0.000000000000000000e+00
3.862790245667563308e+36 8.658349706657033358e+35 3.266529930556012279e+26 3.676671399730072916e+07 3.001398920686510596e+00 1.985140556844001702e+00 2.845561347728027823e-01 1.177402362899535593e+00 1.963184612483130476e+00 -4.715396047298843232e-38 0.000000000000000000e+00
2.900537847104550400e+36 7.998624333616635127e+35 3.203438878749574768e+26 2.971738566938861459e+07 3.010331221357149367e+00 1.156599383327434172e+00 6.936593345272235034e-02 1.152526567368641564e+00 2.150372484412230278e+00 -4.600650298846160534e-38 0.000000000000000000e+00
3.253137071858142420e+36 9.524317001057866415e+35 3.380224424753743388e+26 2.962281925704571977e+07 5.758113262724328107e-01 5.507222577081896553e+00 2.302907638016126857e+00 1.493613740087040176e+00 1.768454960334149284e+00 -4.459563988438650092e-38 0.000000000000000000e+00
2.912079573952913401e+36 9.792680700138433314e+35 3.661466569016707192e+26 2.890291144397265092e+07 2.768835271624998207e+00 5.531599185536834717e+00 1.850537422119161723e-01 1.622307477245193974e+00 2.380215326803619913e+00 -4.311559573630129457e-38 0.000000000000000000e+00
3.573334560532314583e+36 9.020173902811466397e+35 3.281875341056671259e+26 3.742764902145285904e+07 2.627721688937460609e+00 4.285521761291070320e+00 7.636501857874788968e-01 1.832168382835580811e+00 2.006205940530163545e+00 -4.310414757184452156e-38 0.000000000000000000e+00
2.083884096262104510e+36 9.140247980987095345e+35 2.867978283647456593e+26 3.484345638036144525e+07 1.572151812473044641e-01 6.889109548840499642e-01 1.506776738677255700e+00 1.704310559172306672e+00 5.377592460444332367e+00 -4.222114492895735606e-38 0.000000000000000000e+00
3.839305647299987815e+36 6.895584214359681332e+35 3.335967347257771171e+26 2.924296070474667847e+07 2.837370467218756076e-01 3.667809811576157042e+00 8.656492441179645114e-01 1.917162439986829003e+00 5.183028029033504680e+00 -3.945128945205053453e-38 0.000000000000000000e+00
3.506460848030443044e+36 4.652478271988511355e+35 2.874019015191341515e+26 3.176215970038676634e+07 2.628620791069491980e-01 3.462922223806088606e+00 4.983250411295310212e-01 1.765307984661585117e+00 1.921216897189572892e+00 -3.876518473422763661e-38 0.000000000000000000e+00
